id;x;y
"2011 Toyota Corolla AT";4064.55810546875;4433.03955078125
"2011 Toyota Corolla LE";4071.2060546875;4435.40185546875
"2011 Toyota Corolla S";4175.671875;4456.185546875
"2011 Toyota Corolla S AT";4067.360595703125;4433.30712890625
"2010 Rolls-Royce Ghost";4076.4072265625;3828.746826171875
"2011 Audi A5 Cabriolet 2.0 T Quattro";3768.38037109375;3978.04541015625
"2010 Audi A5 Cabriolet 2.0 T Quattro";3795.18798828125;4045.3828125
"2010 Rolls-Royce Phantom Sedan";4262.50830078125;3869.285400390625
"2010 Rolls-Royce Phantom Sedan EWB";4261.791015625;3873.8232421875
"2012 Audi A5 Coupe 2.0 T";3820.19677734375;4033.364990234375
"2012 Audi A5 Coupe 2.0 T AT";3770.495361328125;3971.158203125
"2010 Rolls-Royce Phantom Coupe";4256.54541015625;3876.464599609375
"2011 Audi A5 Coupe 2.0 T AT";3773.171142578125;3977.8505859375
"2011 Audi A5 Coupe 2.0 T";3818.533447265625;4037.335693359375
"2010 Audi A5 Coupe 2.0 T";3816.426513671875;4030.767822265625
"2010 Audi A5 Coupe 3.2";3792.10009765625;4064.60888671875
"2010 Audi A5 Coupe 2.0 T AT";3797.987060546875;4048.74169921875
"2010 Rolls-Royce Phantom Drophead Coupe";4259.0947265625;3866.8798828125
"2011 Rolls-Royce Ghost";4075.820556640625;3825.045166015625
"2010 Honda Accord EX-L V-6 Sedan";4335.49951171875;4481.49658203125
"2011 Rolls-Royce Phantom Sedan";4253.44091796875;3867.64208984375
"2011 Honda Accord LX Sedan";4233.28515625;4525.90185546875
"2011 Honda Accord LX Sedan AT";4319.3583984375;4495.10888671875
"2011 Honda Accord LX-P Sedan";4312.98193359375;4492.3359375
"2011 Honda Accord SE Sedan";4317.859375;4491.26904296875
"2011 Honda Accord EX Sedan";4220.6220703125;4515.41162109375
"2011 Honda Accord EX Sedan AT";4306.0537109375;4482.54150390625
